Company,Contains Philippine?,Link,Name,Role
Evocative Media,No,https://www.linkedin.com/company/evocativemedia/,Jess Vassallo,"Founder & CEO at Evocative Media | eCom Growth Agency | Klaviyo Email Marketing, Automations, SMS, Paid Social & Paid Search"
Evocative Media,No,https://www.linkedin.com/company/evocativemedia/,Chris Mitchell-Clare,"Production Manager."
Moustache Republic,Yes,https://www.linkedin.com/company/moustache-republic/,Tony Hou,"Founder & CEO @ Moustache Republic"
Moustache Republic,Yes,https://www.linkedin.com/company/moustache-republic/,Nafiseh Dadgar,"Ecommerce and Digital Strategist: Driving Product Development and Digital Transformation"
Moustache Republic,Yes,https://www.linkedin.com/company/moustache-republic/,Laura Doonin,"GTM▪️Digital Commerce Strategist ▪️ Agency Director ▪️ Tech Adviser ▪️ MAICD"
Moustache Republic,Yes,https://www.linkedin.com/company/moustache-republic/,Warren Elder,"Consultant & Software Engineer - Digital Transformation | Technology | AWS | Python | Tech Lead"
Moustache Republic,Yes,https://www.linkedin.com/company/moustache-republic/,Troy Saint Laurent,"Senior Account Manager"
Evocative Media,No,https://www.linkedin.com/company/evocativemedia/,Jess Vassallo,"Founder & CEO at Evocative Media | eCom Growth Agency | Klaviyo Email Marketing, Automations, SMS, Paid Social & Paid Search"
Evocative Media,No,https://www.linkedin.com/company/evocativemedia/,Chris Mitchell-Clare,"Production Manager."
Moustache Republic,Yes,https://www.linkedin.com/company/moustache-republic/,Tony Hou,"Founder & CEO @ Moustache Republic"
Moustache Republic,Yes,https://www.linkedin.com/company/moustache-republic/,Nafiseh Dadgar,"Ecommerce and Digital Strategist: Driving Product Development and Digital Transformation"
Moustache Republic,Yes,https://www.linkedin.com/company/moustache-republic/,Laura Doonin,"GTM▪️Digital Commerce Strategist ▪️ Agency Director ▪️ Tech Adviser ▪️ MAICD"
Moustache Republic,Yes,https://www.linkedin.com/company/moustache-republic/,Warren Elder,"Consultant & Software Engineer - Digital Transformation | Technology | AWS | Python | Tech Lead"
Moustache Republic,Yes,https://www.linkedin.com/company/moustache-republic/,Troy Saint Laurent,"Senior Account Manager"
